split_id,train_start,train_end,test_start,test_end,config_id,vol_filter,event_rule,q,u_fixed,u_used,model,test_loglik,n_proxy
0,2000-01-01,2005-12-31,2006-01-01,2007-12-31,0,none,quantile,0.8,,1.2824685489333194,hawkes_dt,-380.9780718271875,0.0
0,2000-01-01,2005-12-31,2006-01-01,2007-12-31,0,none,quantile,0.8,,1.2824685489333194,poisson_iid,-380.9780718271875,
0,2000-01-01,2005-12-31,2006-01-01,2007-12-31,0,none,quantile,0.8,,1.2824685489333194,rs_poisson_dt,-380.9671614497913,
0,2000-01-01,2005-12-31,2006-01-01,2007-12-31,1,ewma,quantile,0.85,,1.5081681398418147,hawkes_dt,-301.11430746697204,0.0
0,2000-01-01,2005-12-31,2006-01-01,2007-12-31,1,ewma,quantile,0.85,,1.5081681398418147,poisson_iid,-301.11430746697204,
0,2000-01-01,2005-12-31,2006-01-01,2007-12-31,1,ewma,quantile,0.85,,1.5081681398418147,rs_poisson_dt,-301.14431636509573,
1,2002-01-01,2007-12-31,2008-01-01,2009-12-31,0,none,quantile,0.8,,1.2840688927244375,hawkes_dt,-376.3481758566404,0.0
1,2002-01-01,2007-12-31,2008-01-01,2009-12-31,0,none,quantile,0.8,,1.2840688927244375,poisson_iid,-376.3481758566404,
1,2002-01-01,2007-12-31,2008-01-01,2009-12-31,0,none,quantile,0.8,,1.2840688927244375,rs_poisson_dt,-376.3450261647707,
1,2002-01-01,2007-12-31,2008-01-01,2009-12-31,1,ewma,quantile,0.85,,1.492571061013268,hawkes_dt,-312.64472116775937,0.0
1,2002-01-01,2007-12-31,2008-01-01,2009-12-31,1,ewma,quantile,0.85,,1.492571061013268,poisson_iid,-312.64472116775937,
1,2002-01-01,2007-12-31,2008-01-01,2009-12-31,1,ewma,quantile,0.85,,1.492571061013268,rs_poisson_dt,-312.64831426927094,
2,2004-01-01,2009-12-31,2010-01-01,2010-12-13,0,none,quantile,0.8,,1.2864068463901353,hawkes_dt,-164.3711256163962,0.0
2,2004-01-01,2009-12-31,2010-01-01,2010-12-13,0,none,quantile,0.8,,1.2864068463901353,poisson_iid,-164.3711256163962,
2,2004-01-01,2009-12-31,2010-01-01,2010-12-13,0,none,quantile,0.8,,1.2864068463901353,rs_poisson_dt,-164.3579241636085,
2,2004-01-01,2009-12-31,2010-01-01,2010-12-13,1,ewma,quantile,0.85,,1.4894133580011093,hawkes_dt,-145.01074355176576,0.0
2,2004-01-01,2009-12-31,2010-01-01,2010-12-13,1,ewma,quantile,0.85,,1.4894133580011093,poisson_iid,-145.01074355176576,
2,2004-01-01,2009-12-31,2010-01-01,2010-12-13,1,ewma,quantile,0.85,,1.4894133580011093,rs_poisson_dt,-145.006278947183,
